Job Title,Rating,Location,Headquarters,Size,company_txt,Industry,Lower Salary,Upper Salary,Avg Salary(K),job_title_sim,seniority_by_title,Python,spark,aws,sql,keras,pytorch,scikit,tensor,hadoop,flink,mongo,lat,lng
Senior Insurance Data Scientist,3.9,"Chicago, IL","Chicago, IL",8,TransUnion,Financial Analytics & Research,107,173,140.0,data scientist,sr,1,0,0,1,0,0,0,0,0,0,0,41.8375,-87.6866
Senior Data Science Systems Engineer,3.2,"Hampton, VA","Bedford, MA",8,MITRE,Federal Agencies,56,99,77.5,data engineer,sr,0,0,0,0,0,0,0,0,0,0,0,37.0551,-76.363
ENVIRONMENTAL ENGINEER/SCIENTIST,3.3,"Cambridge, MA","Cambridge, MA",3,Mcphail Associates,Construction,52,58,55.0,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,42.3759,-71.1185
Senior Scientist - Regulatory Submissions,3.1,"Winston-Salem, NC","Winston-Salem, NC",8,Reynolds American,Consumer Products Manufacturing,80,155,117.5,other scientist,sr,0,0,0,0,0,0,0,0,0,0,0,36.1029,-80.261
Scientist - Biomarker and Flow Cytometry,2.4,"San Diego, CA","San Diego, CA",6,Crown Bioscience,Biotech & Pharmaceuticals,43,98,70.5,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,32.8313,-117.1222
Revenue Analytics Manager,4.8,"San Francisco, CA","San Francisco, CA",4,HOVER,Computer Hardware & Software,45,78,61.5,Data scientist project manager,na,0,0,0,1,0,0,0,0,0,0,0,37.7558,-122.4449
Sr. Scientist Method Development,2.9,"Marietta, GA","Morrisville, NC",7,Q2 Solutions,Biotech & Pharmaceuticals,50,110,80.0,other scientist,sr,0,0,0,0,0,0,0,0,0,0,0,33.9533,-84.5422
"Associate Scientist, LC/MS Biologics",2.9,"Ithaca, NY","Morrisville, NC",7,Q2 Solutions,Biotech & Pharmaceuticals,44,96,70.0,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,42.4442,-76.5032
"Research Scientist, Immunology - Cancer Biology",3.509821428571427,"Cambridge, MA","San Mateo, CA",2,Kronos Bio,Biotech & Pharmaceuticals,100,140,120.0,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,42.3759,-71.1185
IT - Data Engineer II,3.4,"Quincy, MA","Quincy, MA",7,Arbella Insurance,Insurance Carriers,61,119,90.0,data engineer,na,0,1,0,1,0,0,0,0,1,0,0,42.2506,-71.0187
Machine Learning Engineer (NLP),4.1,"Palo Alto, CA","Palo Alto, CA",3,CK-12 Foundation,K-12 Education,80,142,111.0,machine learning engineer,na,1,0,1,0,0,1,0,1,0,0,0,37.3905,-122.1468
Senior Data Analyst,3.9,"San Francisco, CA","San Francisco, CA",4,Life360,Computer Hardware & Software,99,178,138.5,analyst,sr,1,0,0,1,0,0,0,0,0,0,0,37.7558,-122.4449
Data Science Project Manager,3.6,"Boston, MA","Springfield, MA",8,MassMutual,Insurance Carriers,37,100,68.5,data scientist,na,0,0,0,0,0,0,0,0,0,0,0,42.3188,-71.0852
Data Engineer,3.9,"San Francisco, CA","San Francisco, CA",5,Fivestars,Internet,62,113,87.5,data engineer,na,1,0,1,1,0,0,0,0,0,0,0,37.7558,-122.4449
"Principal, Data Science - Advanced Analytics",3.6,"Plymouth Meeting, PA","Durham, NC",9,IQVIA,Biotech & Pharmaceuticals,86,137,111.5,data scientist,sr,0,0,0,0,0,0,0,0,0,0,0,40.1097,-75.2803
"Sr Scientist, Immuno-Oncology - Oncology",3.9,"Cambridge, MA","Brentford, United Kingdom",9,GSK,Biotech & Pharmaceuticals,58,111,84.5,other scientist,sr,0,0,1,0,0,0,0,0,0,0,0,42.3759,-71.1185
Senior Data Engineer,4.4,"Nashville, TN","San Francisco, CA",7,Eventbrite,Internet,72,133,102.5,data engineer,sr,1,1,1,1,0,0,0,0,1,0,0,36.1715,-86.7842
"Project Scientist - Auton Lab, Robotics Institute",2.6,"Pittsburgh, PA","Pittsburgh, PA",6,Software Engineering Institute,Colleges & Universities,56,91,73.5,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,40.4397,-79.9763
Data Science Manager,3.2,"Allentown, PA","Chadds Ford, PA",3,"Numeric, LLC",Staffing & Outsourcing,95,160,127.5,data scientist,na,0,0,0,0,0,0,0,0,0,0,0,40.5961,-75.4756
Research Scientist – Security and Privacy,3.6,"Beavercreek, OH","Arlington, VA",6,Riverside Research Institute,Federal Agencies,61,126,93.5,other scientist,na,1,0,0,0,0,0,0,0,0,0,0,39.731,-84.0624
